GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	ACTOR1	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	latlong
516	3101BUI	10484	08/05/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Kinindo		Kinondo	-3.40653	29.35421	1	Radio Isanganiro	0	"-3.406532,29.354208"
516	3100BUI	10485	08/05/2015	2015	1	Strategic development	Protesters (Burundi)		6	CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction)		3	36	Burundi	Bujumbura Mairie	Buterere	N.A. (4)	Mutakura	-3.34080	29.36030	1	Radio Isanganiro	0	"-3.3408,29.3603"
516	3102BUI	10486	09/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Military Forces of Burundi (2005-)		1	15	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	2	Agence France Presse - English	0	"-3.3772,29.358"
516	3105BUI	10487	10/05/2015	2015	1	Riots/Protests	Protesters (Burundi)		6	Police Forces of Burundi (2005-)		1	16	Burundi	Bujumbura Mairie	Buyenze	N.A. (6)	Bujumbura	-3.37720	29.35800	1	Radio France Internationale; Agence France Presse	0	"-3.3772,29.358"
516	3103BUI	10488	10/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Bujumbura Mairie	Kinama	N.A. (16)	Cibitoke	-3.33630	29.37880	1	Agence France Presse	0	"-3.3363,29.3788"
516	3104BUI	10489	10/05/2015	2015	1	Violence against civilians	Civilians (Burundi)		7	Police Forces of Burundi (2005-)	Military Forces of Burundi (2005-)	1	17	Burundi	Bujumbura Mairie	Musaga	N.A. (20)	Musaga	-3.41580	29.37500	1	Agence France Presse - English; Radio France Internationale	1	"-3.4158,29.375"
516	3110BUI	10490	11/05/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Jabe		Jabe	-3.37099	29.37128	1	Bonesha FM	0	"-3.370986,29.371277"
516	3109BUI	10491	11/05/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Bwiza	N.A. (8)	Bwiza	-3.37250	29.36500	1	Bonesha FM	0	"-3.3725,29.365"
516	3106BUI	10492	11/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5			0	50	Burundi	Bujumbura Rural	Kanyosha1	Mboza	Kanyosha	-3.41560	29.40750	1	Bonesha FM	0	"-3.4156,29.4075"
516	3108BUI	10493	11/05/2015	2015	1	Riots/Protests	Protesters (Burundi)		6			0	60	Burundi	Bujumbura Mairie	Nyakabiga	N.A. (25)	Nyakabiga	-3.37330	29.37670	1	Bonesha FM	0	"-3.3733,29.3767"
516	3107BUI	10494	11/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)	Military Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Musaga	N.A. (20)	Musaga	-3.41580	29.37500	1	Associated Press international	0	"-3.4158,29.375"
516	3112BUI	10495	12/05/2015	2015	1	Riots/Protests	Rioters (Burundi)		5	Police Forces of Burundi (2005-)		1	15	Burundi	Bujumbura Mairie	Buterere	N.A. (4)	Buterere	-3.33330	29.33330	1	Xinhua General News Service; Agence France Presse - English	1	"-3.3333,29.3333"
